transaction_id,store_id,product_id,timestamp,sales_value,quantity_sold,inventory_level,cogs,tax,discount,loyalty_id,payment_type,clerk_id,department,brand,promotion_name,store_location,stock_status,is_weekend,weather_context
TXN-50023,STORE-4,P-188,2025-01-29,119.27,1,115,71.56,5.96,0.00,L-1023,Card,EMP-34,Bakery,National Brand,None,Paris,Low Stock,NO,Rainy
TXN-50024,STORE-5,P-491,2025-05-08,21.36,7,376,12.82,1.07,4.27,L-1024,Card,EMP-41,Meat,Private Label,None,Tokyo,In Stock,NO,Cloudy
TXN-50025,STORE-6,P-146,2024-04-30,49.48,4,712,29.69,2.47,0.00,L-1025,Cash,EMP-1,Bakery,Private Label,None,Berlin,In Stock,NO,Snowy
TXN-50026,STORE-7,P-434,1/7/2026,33.07,1,267,19.84,1.65,0.00,L-1026,Card,EMP-31,Produce,Private Label,Winter Sale,Berlin,In Stock,YES,Sunny
TXN-50027,STORE-8,P-495,2025-09-22,47.47,1,939,28.48,2.37,9.49,L-1027,Cash,EMP-43,Grocery,Premium Brand,None,London,In Stock,NO,Snowy
TXN-50028,STORE-9,P-424,2025-02-02,31.66,6,558,19.00,1.58,0.00,,Mobile Pay,EMP-1,Deli,Premium Brand,None,London,Low Stock,YES,Sunny
TXN-50029,STORE-10,P-140,2024-02-13,12.44,9,983,7.46,0.62,0.00,,Card,EMP-34,Deli,Private Label,None,London,In Stock,YES,Snowy
TXN-50030,STORE-1,P-464,2024-10-10,50.52,7,963,30.31,2.53,0.00,,Card,EMP-21,Grocery,Private Label,None,Paris,In Stock,NO,Cloudy
TXN-50031,STORE-2,P-280,2025-01-17,71.11,5,518,42.67,3.56,0.00,,Cash,EMP-5,Meat,National Brand,None,Tokyo,Low Stock,NO,Snowy
TXN-50032,STORE-3,P-338,2024-10-29, 28.54 ,1,295,17.12,1.43,0.00,,Mobile Pay,EMP-28,Meat,National Brand,None,Tokyo,In Stock,YES,Sunny
TXN-50033,STORE-4,P-34,2025-03-27,55.78,4,373,33.47,2.79,11.16,L-1033,Cash,EMP-18,Deli,Premium Brand,None,Tokyo,In Stock,YES,Cloudy
TXN-50034,STORE-5,,2024-05-04,51.25,4,733,30.75,2.56,0.00,L-1034,Card,EMP-45,Produce,National Brand,None,Berlin,In Stock,NO,Sunny
TXN-50035,STORE-6,P-16,2024-12-08,129.32,6,315,77.59,6.47,0.00,L-1035,Card,EMP-23,Dairy,Private Label,None,Berlin,In Stock,NO,Cloudy
TXN-50036,STORE-7,P-394,2025-08-26,100.22,2,641,60.13,5.01,0.00,,Card,EMP-28,,National Brand,Winter Sale,Berlin,In Stock,NO,Rainy
TXN-50037,STORE-8,P-75,2024-09-12,15.78,7,933,9.47,0.79,0.00,,Mobile Pay,EMP-49,Dairy,Private Label,None,Tokyo,Low Stock,YES,Cloudy
TXN-50038,STORE-9,P-420,2024-12-21,2.78,9,798,1.67,0.14,0.00,L-1038,Mobile Pay,EMP-28,Deli,National Brand,Winter Sale,Tokyo,In Stock,NO,Cloudy
TXN-50039,STORE-10,P-344,2025-09-08,145.52,1,969,87.31,7.28,0.00,L-1039,Cash,EMP-10,Bakery,Premium Brand,None,Paris,Low Stock,NO,Snowy
TXN-50040,STORE-1,P-238,2025-04-04,61.65,6,428,36.99,3.08,0.00,L-1040,Cash,EMP-28,Deli,Premium Brand,None,Tokyo,In Stock,NO,Sunny
TXN-50041,STORE-2,P-114,2025-02-14,119.88,2,33,71.93,5.99,23.98,L-1041,Mobile Pay,EMP-23,Grocery,Premium Brand,None,London,In Stock,NO,Snowy
TXN-50042,STORE-3,P-258,Sat Dec 14 2024,138.43,2,363,83.06,6.92,0.00,L-1042,Card,EMP-27,Deli,Premium Brand,None,Berlin,In Stock,NO,Sunny
TXN-50043,STORE-4, P-164 ,Fri Nov 21 2025,25.15,4,87,15.09,1.26,0.00,,Cash,EMP-34, Deli ,Private Label,None,London,In Stock,YES,Snowy
TXN-50044,STORE-5,P-125,2024-07-22,143.43,10,828,86.06,7.17,0.00,L-1044,Cash,EMP-32,Deli,National Brand,None,Berlin,In Stock,NO,Snowy
TXN-50045,STORE-6,P-269,2024-03-08,146.14,8,704,87.68,7.31,0.00,L-1045,Cash,EMP-20,Deli,Premium Brand,None,Paris,In Stock,NO,Sunny
TXN-50046,STORE-7,P-213,3/27/2025,102.59,2,617,61.55,5.13,20.52,L-1046,Card,EMP-47,Meat,Private Label,None,Berlin,In Stock,NO,Snowy
TXN-50047,STORE-8,P-264,2025-12-19,,8,852,66.08,5.51,0.00,,Cash,EMP-44,Meat,Private Label,None,Paris,Low Stock,NO,Snowy
TXN-50048,STORE-9,P-18,2025-10-27, 137.94 ,7,856,82.77,6.90,0.00,,Cash,EMP-39,Deli,Premium Brand,None,Paris,In Stock,NO,Rainy
TXN-50049,STORE-10,P-249,2026-03-03,55.04,2,129,33.02,2.75,0.00,L-1049,Mobile Pay,EMP-12,Produce,Private Label,Winter Sale,Berlin,Low Stock,NO,Sunny
TXN-50050,STORE-1,P-348,2024-11-21,139.84,3,920,83.90,6.99,0.00,L-1050,Mobile Pay,EMP-44,Produce,Private Label,None,London,In Stock,NO,Sunny
TXN-50051,STORE-2,P-154,2/28/2025,78.33,5,111,47.00,3.92,0.00,L-1051,Mobile Pay,EMP-9,Bakery,National Brand,None,Paris,In Stock,YES,Rainy
TXN-50052,STORE-3,P-377,2025-07-17,60.19,8,213,36.11,3.01,0.00,,Card,EMP-38,Meat,Private Label,None,Tokyo,In Stock,YES,Cloudy
TXN-50053,STORE-4,P-38,2025-09-15,122.02,5,385,73.21,6.10,0.00,,Cash,EMP-28,Dairy,National Brand,None,Berlin,In Stock,YES,Cloudy
TXN-50054,STORE-5,P-213,2024-09-08,80.99,6,292,48.59,4.05,0.00,L-1054,Card,EMP-23,Deli,National Brand,None,London,In Stock,YES,Rainy
TXN-50055,STORE-6,P-27,2026-01-07,125.21,2,943,75.12,6.26,0.00,,Mobile Pay,EMP-9,Grocery,Premium Brand,None,New York,In Stock,YES,Cloudy
TXN-50056,STORE-7,P-83,2026-01-18,117.34,,918,70.40,5.87,0.00,,Cash,EMP-42,Produce,National Brand,None,Berlin,In Stock,NO,Cloudy
TXN-50057,STORE-8,P-278,2024-05-15,124.73,10,749,74.84,6.24,0.00,,Card,EMP-43,Deli,Premium Brand,None,Paris,In Stock,NO,Sunny
TXN-50058,STORE-9,P-410,2024-12-03,122.31,5,878,73.39,6.12,0.00,L-1058,Mobile Pay,EMP-36,Grocery,Private Label,None,London,In Stock,YES,Cloudy
TXN-50059,STORE-10,P-418,2024-07-21,57.92,3,463,34.75,2.90,0.00,,Mobile Pay,EMP-39,Meat,Premium Brand,None,Tokyo,In Stock,NO,Sunny
TXN-50060,STORE-1,P-310,2024-01-31,36.20,9,113,21.72,1.81,0.00,L-1060,Card,EMP-13,Meat,Premium Brand,None,London,In Stock,NO,Sunny
TXN-50061,STORE-2,P-273,2025-09-18,128.46,1,445,77.08,6.42,0.00,,Cash,EMP-20,Produce,National Brand,None,Berlin,In Stock,YES,Snowy
TXN-50062,STORE-3,P-125,7/2/2025,102.70,3,182,61.62,5.13,0.00,,Card,EMP-21,Deli,Private Label,None,Tokyo,In Stock,NO,Cloudy
TXN-50063,STORE-4,P-380,2026-02-07,63.10,,43,37.86,3.15,0.00,,Mobile Pay,EMP-47,Meat,National Brand,None,Berlin,In Stock,NO,Snowy
TXN-50064,STORE-5,P-488,2025-08-24,135.48,10,754,81.29,6.77,27.10,,Mobile Pay,EMP-49,Produce,Private Label,Winter Sale,London,In Stock,YES,Rainy
TXN-50065,STORE-6,P-205,2024-08-09,94.71,1,861,56.82,4.74,0.00,,Mobile Pay,EMP-28,Bakery,Premium Brand,None,Berlin,Low Stock,YES,Cloudy
TXN-50066,STORE-7,P-492,2024-10-31,9.69,2,94,5.81,0.48,0.00,L-1066,Card,EMP-13,Grocery,Private Label,None,Tokyo,In Stock,NO,Snowy
TXN-50067,STORE-8,P-345,2024-07-19,77.49,3,126,46.49,3.87,0.00,,Card,EMP-17,Produce,Private Label,None,New York,Low Stock,NO,Sunny
TXN-50068,STORE-9,P-354,2026-01-26,150.34,1,967,90.20,7.52,30.07,L-1068,Cash,EMP-49,Produce,Premium Brand,Winter Sale,Berlin,In Stock,NO,Cloudy
TXN-50069,STORE-10,P-28,2024-06-08,65.10,6,4,39.06,3.26,0.00,,Card,EMP-48,Bakery,Private Label,Winter Sale,Paris,In Stock,NO,Snowy
TXN-50070,STORE-1,P-209,2025-06-12,33.83,3,987,20.30,1.69,6.77,,Mobile Pay,EMP-29,Dairy,Premium Brand,None,Paris,In Stock,NO,Sunny
TXN-50071,STORE-2,P-118,2024-11-09,114.66,3,721,68.80,5.73,0.00,L-1071,Cash,EMP-13,Produce,National Brand,None,Tokyo,In Stock,NO,Sunny
TXN-50072,STORE-3,P-333,2024-10-23, 25.53 ,9,452,15.32,1.28,0.00,L-1072,Cash,EMP-17,Deli,Premium Brand,None,London,In Stock,NO,Sunny
TXN-50073,STORE-4,P-29,1722261260803,52.42,2,473,31.45,2.62,0.00,,Card,EMP-16,Produce,Private Label,None,London,In Stock,YES,Snowy
TXN-50074,STORE-5,P-120,2024-10-08,81.20,5,671,48.72,4.06,0.00,L-1074,Cash,EMP-15,Meat,Private Label,None,Paris,In Stock,YES,Rainy
TXN-50075,STORE-6,P-96,2024-11-15,62.02,2,300,37.21,3.10,0.00,L-1075,Card,EMP-14,Bakery,Private Label,None,Berlin,In Stock,YES,Sunny
TXN-50076,STORE-7,P-263,2025-03-25,133.96,5,138,80.38,6.70,0.00,L-1076,Mobile Pay,EMP-21,Bakery,Premium Brand,None,Berlin,In Stock,NO,Cloudy
TXN-50077,STORE-8,P-26,2025-02-06,82.34,5,306,49.40,4.12,0.00,,Cash,EMP-37,Dairy,Private Label,None,New York,In Stock,NO,Snowy
TXN-50078,STORE-9,P-159,2025-02-11,133.74,6,941,80.24,6.69,0.00,,Cash,EMP-29,Dairy,National Brand,None,Paris,In Stock,NO,Sunny
TXN-50079,STORE-10,P-42,2026-03-10,146.97,4,270,88.18,7.35,0.00,,Cash,EMP-44,Dairy,National Brand,None,Berlin,In Stock,NO,Rainy
TXN-50080,STORE-1,P-485,2024-05-07,150.00,400,339,90.00,7.50,30.00,,Cash,EMP-48,Produce,Private Label,None,Paris,In Stock,YES,Sunny
TXN-50081,STORE-2,P-395,2024-12-26,115.60,4,511,69.36,5.78,0.00,,Cash,EMP-37,Deli,National Brand,None,Paris,Low Stock,NO,Sunny
TXN-50082,STORE-3,P-217,2025-04-06,151.16,1,771,90.70,7.56,0.00,L-1082,Mobile Pay,EMP-29,Produce,Premium Brand,Winter Sale,Berlin,In Stock,YES,Snowy
TXN-50083,STORE-4,P-140,2025-04-09,22.66,6,270,13.60,1.13,0.00,L-1083,Card,EMP-6,Produce,National Brand,None,Berlin,Low Stock,NO,Cloudy
TXN-50084,STORE-5,P-343,2024-04-10,112.29,6,844,67.38,5.61,0.00,,Card,EMP-7,Deli,Premium Brand,None,Berlin,In Stock,NO,Cloudy
TXN-50085,STORE-6,P-88,2024-11-12,141.27,,691,84.76,7.06,0.00,,Mobile Pay,EMP-32,Grocery,Premium Brand,None,New York,In Stock,YES,Rainy
TXN-50086,STORE-7,P-40,2025-11-25,82.37,5,187,49.42,4.12,0.00,,Cash,EMP-33,Bakery,Private Label,None,Paris,In Stock,NO,Sunny
TXN-50087,STORE-8,P-470,2025-01-30,,5,94,33.78,2.82,11.26,,Mobile Pay,EMP-25,Produce,Premium Brand,None,Paris,In Stock,NO,Snowy
TXN-50088,STORE-9,P-223,2024-09-24,102.00,4,506,61.20,5.10,0.00,L-1088,Mobile Pay,EMP-18,Bakery,Premium Brand,None,New York,In Stock,NO,Sunny
TXN-50089,STORE-10,P-21,2025-11-17,123.89,3,294,74.34,6.19,0.00,,Cash,EMP-41,Meat,Private Label,Winter Sale,New York,In Stock,NO,Cloudy
TXN-50090,STORE-1,P-497,Thu May 23 2024,66.84,3,169,40.11,3.34,0.00,,Cash,EMP-49, Deli ,Private Label,None,Tokyo,In Stock,NO,Sunny
TXN-50091,STORE-2,P-320,2025-01-20,32.01,7,624,19.21,1.60,0.00,,Card,EMP-41,Dairy,Private Label,None,Paris,In Stock,NO,Snowy
TXN-50092,STORE-3,P-139,2025-11-14,55.00,9,524,33.00,2.75,0.00,L-1092,Mobile Pay,EMP-35,Deli,Private Label,None,Paris,Low Stock,YES,Sunny
TXN-50093,STORE-4,P-118,2026-02-26,92.54,2,392,55.52,4.63,0.00,,Cash,EMP-32,Bakery,Premium Brand,None,London,In Stock,NO,Rainy
TXN-50094,STORE-5,P-307,2024-05-13,,2,408,21.24,1.77,0.00,,Mobile Pay,EMP-8,Dairy,National Brand,None,London,In Stock,NO,Snowy
TXN-50095,STORE-6,P-145,Fri May 02 2025,15.49,5,383,9.29,0.77,0.00,L-1095,Card,EMP-43,Dairy,Premium Brand,None,New York,In Stock,NO,Sunny
TXN-50096,STORE-7,P-100,2025-05-27,11.50,4,683,6.90,0.57,0.00,,Mobile Pay,EMP-47,,Private Label,None,Paris,In Stock,NO,Cloudy
TXN-50097,STORE-8,P-181,2024-02-12,60.50,4,570,36.30,3.02,0.00,,Mobile Pay,EMP-36,Dairy,Private Label,None,New York,In Stock,NO,Sunny
TXN-50098,STORE-9,P-15,2025-08-21,71.45,10,490,42.87,3.57,0.00,L-1098,Card,EMP-22,Produce,Private Label,None,Berlin,In Stock,NO,Snowy
TXN-50099,STORE-10,P-313,2024-04-22,69.98,1,621,41.99,3.50,0.00,L-1099,Card,EMP-8,Meat,National Brand,None,Paris,In Stock,NO,Snowy
TXN-50100,STORE-1,P-157,2026-03-03,132.38,8,563,79.43,6.62,0.00,,Cash,EMP-49,Grocery,Private Label,None,Tokyo,In Stock,YES,Rainy
TXN-50101,STORE-2,P-478,2026-02-12,139.09,10,37,83.45,6.95,0.00,L-1101,Card,EMP-35,Deli,Premium Brand,None,New York,In Stock,NO,Sunny
TXN-50102,STORE-3,P-179,2024-05-07,20.48,9,829,12.29,1.02,0.00,L-1102,Mobile Pay,EMP-48,Deli,National Brand,Winter Sale,Tokyo,In Stock,NO,Snowy
TXN-50103,STORE-4,P-378,2025-08-12,119.76,4,779,71.85,5.99,0.00,,Mobile Pay,EMP-9,Dairy,Premium Brand,None,New York,Low Stock,NO,Cloudy
TXN-50104,STORE-5,P-94,2024-12-19,31.37,4,858,18.82,1.57,0.00,,Cash,EMP-33,Produce,Premium Brand,None,London,Low Stock,YES,Cloudy
TXN-50105,STORE-6,P-420,7/24/2024,111.72,5,435,67.03,5.59,0.00,,Card,EMP-36,Produce,National Brand,Winter Sale,Berlin,In Stock,NO,Sunny
TXN-50106,STORE-7,P-50,2024-03-12,144.56,4,587,86.73,7.23,0.00,L-1106,Cash,EMP-27,Bakery,Premium Brand,None,London,In Stock,YES,Sunny
TXN-50107,STORE-8,P-432,2025-01-22,92.99,3,430,55.80,4.65,0.00,,Mobile Pay,EMP-49,Dairy,National Brand,None,Tokyo,In Stock,NO,Rainy
TXN-50108,STORE-9,P-134,2024-09-24,135.29,5,396,81.17,6.76,0.00,,Cash,EMP-3,Produce,Private Label,None,London,In Stock,NO,Snowy
TXN-50109,STORE-10,P-113,2025-01-07,127.74,2,520,76.64,6.39,0.00,L-1109,Mobile Pay,EMP-35,Deli,Premium Brand,None,Tokyo,In Stock,YES,Rainy
TXN-50110,STORE-1,P-294,2025-04-29,10.15,7,900,6.09,0.51,0.00,,Mobile Pay,EMP-36,Dairy,National Brand,Winter Sale,Paris,In Stock,NO,Snowy
TXN-50111,STORE-2,P-413,2024-09-14,44.45,7,62,26.67,2.22,8.89,,Mobile Pay,EMP-3,Grocery,National Brand,None,New York,In Stock,YES,Sunny
TXN-50112,STORE-3,P-377,2025-11-25,106.49,3,460,63.89,5.32,0.00,L-1112,Mobile Pay,EMP-29,Bakery,National Brand,None,Tokyo,In Stock,NO,Cloudy
TXN-50113,STORE-4,P-197,2025-12-15,75.06,2,74,45.03,3.75,0.00,,Cash,EMP-48,Dairy,National Brand,None,Berlin,Low Stock,YES,Sunny
TXN-50114,STORE-5,P-210,2025-09-20,12.95,9,46,7.77,0.65,0.00,L-1114,Card,EMP-5,Meat,Premium Brand,None,London,In Stock,NO,Cloudy
TXN-50115,STORE-6,P-112,2025-03-26,140.39,7,741,84.23,7.02,0.00,L-1115,Card,EMP-39,Grocery,Private Label,None,London,In Stock,YES,Sunny
TXN-50116,STORE-7,P-488,2025-08-02,74.64,500,390,44.79,3.73,0.00,,Mobile Pay,EMP-13,Produce,Private Label,None,Tokyo,In Stock,NO,Rainy
TXN-50117,STORE-8,P-24,2025-10-30,55.54,8,246,33.33,2.78,0.00,L-1117,Cash,EMP-45,Bakery,National Brand,None,London,Low Stock,YES,Sunny
TXN-50118,STORE-9,P-296,2025-11-01,74.59,10,886,44.76,3.73,0.00,L-1118,Mobile Pay,EMP-12,Grocery,Private Label,None,Paris,In Stock,YES,Cloudy
TXN-50119,STORE-10,P-223,2025-08-04,58.17,4,954,34.90,2.91,0.00,,Card,EMP-11,Meat,Premium Brand,None,Tokyo,Low Stock,YES,Rainy
TXN-50120,STORE-1,P-80,2026-03-07,20.75,4,842,12.45,1.04,0.00,,Mobile Pay,EMP-30,,Premium Brand,None,Berlin,In Stock,NO,Rainy
TXN-50121,STORE-2,P-211,2024-11-19,44.79,7,208,26.88,2.24,0.00,L-1121,Cash,EMP-41,Produce,Private Label,None,New York,Low Stock,YES,Sunny
TXN-50122,STORE-3,P-132,1711319262696,44.02,8,537,26.41,2.20,0.00,,Mobile Pay,EMP-23,Bakery,National Brand,None,New York,In Stock,NO,Cloudy
TXN-50123,STORE-4,P-231,2025-01-14,116.15,5,233,69.69,5.81,0.00,,Card,EMP-1,Bakery,Private Label,None,New York,In Stock,NO,Rainy
TXN-50124,STORE-5,P-214,2025-01-03,88.39,4,759,53.04,4.42,0.00,,Mobile Pay,EMP-38,Deli,Premium Brand,Winter Sale,Paris,In Stock,YES,Sunny
TXN-50125,STORE-6,P-393,2025-11-09,91.07,10,713,54.64,4.55,0.00,,Card,EMP-23,Meat,National Brand,None,Paris,In Stock,NO,Sunny
TXN-50126,STORE-7,P-95,2026-01-07,126.23,7,367,75.74,6.31,0.00,,Card,EMP-36,Produce,Premium Brand,None,London,In Stock,YES,Snowy
TXN-50127,STORE-8,P-398,2025-04-06,91.38,8,62,54.83,4.57,0.00,,Card,EMP-48,Bakery,National Brand,None,Tokyo,In Stock,NO,Rainy
TXN-50128,STORE-9,P-491,2025-01-05,93.16,9,978,55.90,4.66,0.00,L-1128,Card,EMP-14,Produce,Private Label,None,Berlin,Low Stock,NO,Sunny
TXN-50129,STORE-10,P-478,2025-03-08,110.48,8,973,66.29,5.52,0.00,,Card,EMP-25,Bakery,Private Label,None,London,In Stock,NO,Sunny
TXN-50130,STORE-1,P-386,2025-11-24, 43.73 ,6,39,26.24,2.19,0.00,L-1130,Card,EMP-41,Deli,Premium Brand,None,New York,In Stock,NO,Snowy
TXN-50131,STORE-2,P-329,2025-07-14,2.69,3,391,1.62,0.13,0.00,L-1131,Mobile Pay,EMP-4,Produce,Private Label,None,Tokyo,Low Stock,NO,Sunny
TXN-50132,STORE-3,P-98,2024-06-02,38.08,10,789,22.85,1.90,0.00,L-1132,Cash,EMP-1,Grocery,National Brand,None,Berlin,In Stock,NO,Sunny
TXN-50133,STORE-4,P-458,2024-12-31,28.91,1,848,17.35,1.45,5.78,L-1133,Card,EMP-40,Dairy,Premium Brand,None,New York,In Stock,NO,Sunny
TXN-50134,STORE-5,P-480,2025-08-18,134.79,4,655,80.87,6.74,0.00,,Card,EMP-1,Deli,National Brand,None,London,In Stock,YES,Rainy
TXN-50135,STORE-6,P-208,2024-03-23,117.46,6,767,70.48,5.87,0.00,,Cash,EMP-38,Deli,Premium Brand,None,New York,Low Stock,NO,Snowy
TXN-50136,STORE-7,P-380,2025-04-29,92.91,9,585,55.75,4.65,0.00,,Mobile Pay,EMP-21,Grocery,Premium Brand,None,New York,In Stock,NO,Rainy
TXN-50137,STORE-8,P-165,2026-01-28,33.89,3,374,20.34,1.69,0.00,,Cash,EMP-28,Grocery,Premium Brand,None,New York,Low Stock,NO,Snowy
TXN-50138,STORE-9,P-209,2026-02-11,130.66,9,550,78.39,6.53,0.00,L-1138,Mobile Pay,EMP-42,Grocery,National Brand,None,Paris,Low Stock,NO,Sunny
TXN-50139,STORE-10,P-184,2025-11-05,52.86,7,156,31.72,2.64,0.00,,Cash,EMP-2,Produce,National Brand,None,London,In Stock,NO,Cloudy
TXN-50140,STORE-1,P-447,2024-08-11,68.35,3,211,41.01,3.42,0.00,L-1140,Card,EMP-23,Bakery,Premium Brand,None,Tokyo,In Stock,YES,Cloudy
TXN-50141,STORE-2,P-380,2024-02-29,38.01,7,816,22.80,1.90,7.60,L-1141,Card,EMP-33,Grocery,Private Label,None,Berlin,In Stock,NO,Snowy
TXN-50142,STORE-3,P-239,2024-05-10,12.30,10,728,7.38,0.61,0.00,,Cash,EMP-16,Grocery,National Brand,None,Tokyo,In Stock,YES,Snowy
TXN-50143,STORE-4,P-319,2024-02-22,126.75,6,271,76.05,6.34,0.00,L-1143,Card,EMP-44,Bakery,Private Label,None,Paris,In Stock,NO,Cloudy
TXN-50144,STORE-5,P-398,2024-03-08,3.34,4,104,2.01,0.17,0.00,,Card,EMP-7,Meat,Premium Brand,Winter Sale,Berlin,Low Stock,YES,Cloudy
TXN-50145,STORE-6,P-469,2025-08-06,85.54,1,715,51.33,4.28,0.00,L-1145,Cash,EMP-8,Dairy,National Brand,None,Tokyo,In Stock,YES,Snowy
TXN-50146,STORE-7,P-492,2025-01-15,23.13,8,727,13.88,1.16,4.63,,Card,EMP-12,Dairy,Private Label,None,Tokyo,In Stock,NO,Rainy
TXN-50147,STORE-8,P-188,2025-04-01,117.92,4,362,70.75,5.90,0.00,,Cash,EMP-18,Dairy,Private Label,None,New York,In Stock,NO,Sunny
TXN-50148,STORE-9,P-497,2025-05-27, 66.03 ,3,20,39.62,3.30,0.00,L-1148,Cash,EMP-27,Produce,National Brand,None,Berlin,In Stock,NO,Sunny
TXN-50149,STORE-10,P-328,2025-05-03,106.55,10,182,63.93,5.33,0.00,L-1149,Mobile Pay,EMP-35,Deli,Premium Brand,None,Paris,In Stock,YES,Rainy
TXN-50150,STORE-1,P-42,2025-02-16,6.16,3,654,3.69,0.31,0.00,,Card,EMP-41,Dairy,National Brand,None,Paris,In Stock,NO,Sunny
TXN-50151,STORE-2,P-135,2024-01-02,9.40,8,170,5.64,0.47,0.00,,Card,EMP-34,Grocery,National Brand,None,Berlin,In Stock,NO,Sunny
TXN-50152,STORE-3,P-373,2024-07-11,10.57,8,330,6.34,0.53,0.00,L-1152,Cash,EMP-15,Dairy,National Brand,None,New York,In Stock,NO,Sunny
TXN-50153,STORE-4,P-398,2026-02-21,81.90,1,736,49.14,4.10,0.00,,Card,EMP-23,Grocery,National Brand,None,Berlin,In Stock,YES,Cloudy
TXN-50154,STORE-5,P-416,2024-12-26,103.98,,320,62.39,5.20,0.00,L-1154,Mobile Pay,EMP-27,Deli,National Brand,None,Berlin,In Stock,NO,Rainy
TXN-50155,STORE-6,P-359,2024-01-30,144.75,,565,86.85,7.24,0.00,,Mobile Pay,EMP-47,Deli,Premium Brand,None,Berlin,In Stock,NO,Cloudy
TXN-50156,STORE-7,P-293,2025-12-04,98.39,7,25,59.03,4.92,0.00,,Card,EMP-41,Dairy,Private Label,Winter Sale,New York,In Stock,NO,Sunny
TXN-50157,STORE-8,P-175,2024-05-01,,10,725,56.82,4.73,0.00,L-1157,Cash,EMP-17,Grocery,National Brand,None,Berlin,In Stock,NO,Snowy
